0,1,2
电力,不变,0
电量,不变,0
用户,不变,0
电网,不变,0
发电,上升,2
市场,下降,1
合同,上升,81
电价,上升,7
结算,上升,38
中心,下降,1
iOS,下降,5
市场主体,上升,28
公示,上升,5
联盟,下降,4
改革,下降,3
业务,下降,3
跨省,上升,84
价格,上升,4
调度,上升,82
注册,下降,9
用电,上升,16
月度,上升,79
规定,下降,3
晶见,上升,19
电力直接交易,下降,2
市场化,下降,1
输配电,下降,19
开展,下降,4
供电,上升,42
电厂,上升,71
参与,上升,4
配电网,下降,4
观察,下降,19
竞价,下降,2
申报,上升,31
关闭,下降,20
程序,下降,18
用电量,上升,57
辅助,上升,34
相关,上升,4
计划,上升,60
跨区,上升,59
年月日,下降,9
信息,下降,3
功能,下降,24
合同电量,上升,55
电能,上升,54
优先,上升,53
情况,下降,11
国家,上升,17
管理,下降,5
支持,下降,25
公司,下降,5
机构,上升,47
准入,下降,16
工作,下降,25
电改,下降,4
机组,上升,43
购电,上升,42
运行,下降,2
偏差,上升,40
影响,下降,32
进行,下降,1
通知,下降,8
江苏,上升,36
富余,上升,11
挂牌,上升,34
直接,上升,23
增量,下降,14
主体,上升,31
转让,上升,30
互保,上升,29
要求,下降,12
组织,上升,20
执行,上升,26
规则,下降,22
广东,下降,14
北京,下降,19
发布,上升,22
试点,下降,30
交易规则,下降,1
输电,上升,19
安全,上升,16
监管,上升,17
双边,上升,16
成交,上升,1
机制,下降,13
交易平台,上升,13
电费,上升,12
发改委,上升,11
体制改革,下降,1
成本,下降,50
配网,上升,8
电力现货,下降,58
系统,下降,16
推进,上升,5
政策,下降,46
放开,下降,30
运营,下降,15
政府,上升,1
